"zip_code","longitude","latitude","population","median_age","percent_male","percent_female","total_households","avg_household_size"
90260,-118.352,33.8923,34924,32.7,50.1345779406712,49.8654220593288,10429,3.33
90262,-118.2,33.9199,69745,27.8,48.632876908739,51.367123091261,14669,4.57
90263,-118.7038,34.0328,1612,19.7,41.2531017369727,58.7468982630273,0,0
90265,-118.8364,34.0615,18116,46.5,50.5575182159417,49.4424817840583,7174,2.39
90266,-118.3988,33.8908,35135,40.9,50.1067311797353,49.8932688202647,14038,2.5
90270,-118.1854,33.9876,27372,27.9,51.117930732135,48.882069267865,6554,4.16
90272,-118.5448,34.0845,22986,47.3,47.6463934568868,52.3536065431132,9212,2.49
90274,-118.352,33.7794,25209,49.4,48.3914474989091,51.6085525010909,9479,2.66
90275,-118.3637,33.7456,41804,47.8,48.5192804516314,51.4807195483686,15618,2.65
90277,-118.3871,33.8322,35293,42,49.6444054061712,50.3555945938288,16910,2.07
90278,-118.37028,33.87362,40071,38.2,49.5320805570113,50.4679194429887,16009,2.49
90280,-118.1883,33.9433,94396,29.4,49.070935209119,50.929064790881,23278,4.05
90290,-118.6148,34.1077,6368,45,49.9371859296482,50.0628140703518,2612,2.44
90291,-118.46315,33.99447,28341,37.6,52.0694400338732,47.9305599661268,14261,1.95
90292,-118.4572,33.9684,21576,41.2,49.7265480163144,50.2734519836856,12654,1.7
90293,-118.4455,33.9509,12132,40.4,48.5492911308935,51.4507088691065,6575,1.83
90301,-118.352,33.9538,36568,32.6,48.2197549770291,51.7802450229709,11895,3.01
90302,-118.353822,33.972916,29415,32.8,46.925038245793,53.074961754207,10684,2.74
90303,-118.3316,33.9358,26176,30.4,48.6437958435208,51.3562041564792,7290,3.58
90304,-118.3608,33.9388,28210,28.1,51.4108472172988,48.5891527827012,6634,4.22
90305,-118.3287,33.9596,14853,43.3,44.1123005453444,55.8876994546556,5933,2.46
90401,-118.4952,34.0126,6722,37.8,52.4248735495388,47.5751264504612,4188,1.49
90402,-118.5068,34.0353,12250,47,47.4204081632653,52.5795918367347,5301,2.31
90403,-118.4952,34.028,24525,40.8,46.5891946992864,53.4108053007136,13970,1.74
90404,-118.4718,34.0288,21360,37.4,48.1835205992509,51.8164794007491,10089,2.01
90405,-118.466,34.0097,27186,40.8,49.1576546752005,50.8423453247995,14376,1.87
90501,-118.317,33.8292,43180,35,49.7522000926355,50.2477999073645,14610,2.94
90502,-118.2907,33.8332,18010,40.2,48.9228206551916,51.0771793448084,5717,2.94
90503,-118.352,33.841,44383,40.8,48.3991618412455,51.6008381587545,17183,2.55
90504,-118.33135,33.86693,32102,40.3,49.4860133325026,50.5139866674974,11580,2.76
90505,-118.352,33.8102,36678,43,48.2141883417853,51.7858116582147,14244,2.55
90601,-118.0303,34.0081,31974,36.6,47.8889097391631,52.1110902608369,11027,2.89
90602,-118.0215,33.9717,25777,30.9,49.346316483687,50.653683516313,7980,3.09
90603,-117.9931,33.9443,20063,39.4,48.3177989333599,51.6822010666401,6788,2.93
90604,-118.0245,33.9325,39407,34.1,48.8999416347349,51.1000583652651,11932,3.29
90605,-118.0274,33.9549,40331,32.6,49.6714685973569,50.3285314026431,10527,3.81
90606,-118.0713,33.9723,32396,33.5,49.1912581800222,50.8087418199778,8633,3.72
90621,-117.9893,33.8795,35153,32.1,49.4324808693426,50.5675191306574,10304,3.38
90623,-118.045,33.8478,15554,41.2,48.3219750546483,51.6780249453517,5072,3.06
90630,-118.0362,33.8165,47993,40,48.3487175213052,51.6512824786948,15785,3.02
90631,-117.96,33.9227,67619,34.8,49.2760910395007,50.7239089604993,21452,3.13
90638,-118.00907,33.90236,49012,37.9,47.9882477760548,52.0117522239452,14821,3.11
90640,-118.1064,34.0149,62549,34.7,48.2645605845018,51.7354394154983,19027,3.27
90650,-118.08249,33.90703,105549,32.5,49.6110811092478,50.3889188907522,27130,3.83
90660,-118.0947,33.987,62928,34,48.8463005339436,51.1536994660564,16564,3.77
90670,-118.0713,33.9415,14866,36.2,48.1837750571775,51.8162249428226,4393,3.34
90701,-118.0801,33.8648,16591,38.2,49.587125549997,50.412874450003,4553,3.51
90703,-118.0596,33.8725,49399,43.9,48.1487479503634,51.8512520496366,15604,3.16
90706,-118.124,33.8822,76615,31.9,48.5583762970698,51.4416237029302,23650,3.21
90710,-118.2965,33.7958,25457,36.7,48.2814157206269,51.7185842793731,8717,2.91
90712,-118.1532,33.8493,31499,38.4,48.4999523794406,51.5000476205594,10794,2.91
90713,-118.1181,33.8477,27925,39,48.6087735004476,51.3912264995524,9447,2.95
90715,-118.0784,33.8413,20388,33.9,48.7296448891505,51.2703551108495,6105,3.33
90716,-118.0742,33.8303,14184,28.3,49.9012972363226,50.0987027636774,3515,4.03
90717,-118.3199,33.7951,21318,39.5,48.3957219251337,51.6042780748663,8520,2.48
90720,-118.0713,33.7976,21751,41.7,47.9196358788102,52.0803641211898,7789,2.74
90723,-118.1649,33.8978,54099,28.6,48.642303924287,51.357696075713,13882,3.87
90731,-118.27398,33.7334,59662,35.6,50.2011330495122,49.7988669504877,22044,2.62
90732,-118.314,33.7349,21115,45,46.6161496566422,53.3838503433578,8611,2.38
90740,-118.083,33.7536,23729,57.5,43.9251548737831,56.0748451262169,12830,1.83
90744,-118.2644,33.7858,53815,28.7,50.7256341168819,49.2743658831181,13999,3.83
90745,-118.2585,33.8232,57251,37.1,48.4777558470594,51.5222441529406,15210,3.73
90746,-118.2585,33.854,25990,40.7,45.9561369757599,54.0438630242401,8050,3.14
90755,-118.1679,33.802,11074,36.1,49.3227379447354,50.6772620552646,4172,2.64
90802,-118.1942,33.7415,39347,34.7,51.8133529875213,48.1866470124787,19853,1.93
90803,-118.1298,33.7523,32031,42.7,48.7309169242297,51.2690830757703,17318,1.84
90804,-118.14917,33.78223,40311,29.8,48.8353054997395,51.1646945002605,14556,2.7
90805,-118.1766,33.8641,93524,29,48.3608485522433,51.6391514477567,26056,3.56
90806,-118.1913,33.8065,42399,30.3,48.8620014622986,51.1379985377014,12184,3.44
90807,-118.1766,33.8332,31481,39.7,48.1337949874527,51.8662050125473,12452,2.49
90808,-118.1064,33.8198,38232,41.6,48.1481481481481,51.8518518518518,14167,2.69
90810,-118.2234,33.8114,36735,31.8,49.1819790390636,50.8180209609364,9289,3.9
90813,-118.1971,33.7845,58911,27.3,49.9482269864711,50.0517730135289,16425,3.5
90814,-118.143,33.7709,19131,37.2,48.9049187183106,51.0950812816894,9170,2.06
90815,-118.1181,33.7963,39733,37.9,48.1312762690962,51.8687237309038,14836,2.53
90822,-118.1496,33.8085,117,63.9,93.1623931623932,6.83760683760684,2,4.5
91001,-118.124,34.2104,36126,41.6,48.2228865636937,51.7771134363063,12663,2.83
91006,-118.0245,34.1172,31715,42.7,48.1885543118398,51.8114456881602,10652,2.98
91007,-118.0479,34.1217,34095,43.8,47.0420882827394,52.9579117172606,12033,2.73
91008,-117.9659,34.1625,1391,54.6,44.1409058231488,55.8590941768512,562,2.39
91010,-117.9425,34.158,26074,38.1,47.7909028150648,52.2090971849352,7972,3.2
91011,-118.1942,34.2134,20280,45.9,48.6341222879684,51.3658777120316,6859,2.95
91016,-118.0069,34.1575,40598,37.9,47.8693531701069,52.1306468298931,15029,2.69
91020,-118.2322,34.2116,8415,40.2,47.1301247771836,52.8698752228164,3385,2.43
91024,-118.0479,34.1934,10917,46.6,47.3115324722909,52.6884675277091,4837,2.26
91030,-118.1532,34.1058,25616,40.1,47.4703310430981,52.5296689569019,10466,2.43
91040,-118.3111,34.2864,20372,43.3,49.6760259179266,50.3239740820734,7359,2.72
91042,-118.2293,34.2967,27585,40.7,49.7879282218597,50.2120717781403,9987,2.74
91046,-118.2407,34.2114,156,74,32.6923076923077,67.3076923076923,114,1.37
91101,-118.1386,34.1428,20460,33.7,48.514173998045,51.485826001955,10869,1.86
91103,-118.1532,34.1673,27480,35,49.0574963609898,50.9425036390102,8492,3.11
91104,-118.1181,34.1658,36751,38.2,48.6354112813257,51.3645887186743,12922,2.8
91105,-118.1679,34.1406,11254,49,48.2672827439133,51.7327172560867,5213,2.07
91106,-118.1269,34.1457,24229,34.6,49.4985348136531,50.5014651863469,10723,2.17
91107,-118.083,34.1642,32940,41.2,48.3910139647845,51.6089860352155,13028,2.51
91108,-118.1181,34.1248,13361,45.4,47.975450939301,52.0245490606991,4415,3.01
91201,-118.2936,34.163,22781,40.4,48.8257758658531,51.1742241341469,8150,2.78
91202,-118.2702,34.1688,22830,41.7,47.3280770915462,52.6719229084538,8879,2.56
91203,-118.26355,34.15287,13220,38.9,47.4962178517398,52.5037821482602,5044,2.62
91204,-118.2614,34.1378,16032,38.1,48.0227045908184,51.9772954091816,5639,2.76
91205,-118.24339,34.13679,37810,39.1,47.8286167680508,52.1713832319492,14089,2.67
91206,-118.2117,34.1527,33065,42.6,47.0104339936489,52.9895660063511,13261,2.48
91207,-118.24477,34.16872,10506,45.5,46.8684561203122,53.1315438796878,4097,2.56
91208,-118.2351,34.1981,16245,43.6,47.7439212065251,52.2560787934749,6106,2.66
91210,-118.2563,34.1448,328,33.9,49.390243902439,50.609756097561,178,1.84
91214,-118.24778,34.23759,30356,42.5,48.2342864672552,51.7657135327448,10551,2.87
91301,-118.7548,34.113,25488,42.7,49.0858443188952,50.9141556811048,9208,2.76
91302,-118.6848,34.1308,25709,42.4,48.5705394997861,51.4294605002139,9303,2.76
91303,-118.5973,34.1989,26855,31.1,51.7855148017129,48.2144851982871,8697,3.08
91304,-118.6556,34.225,50231,35.9,49.4256534809182,50.5743465190818,16532,3
91306,-118.574,34.2049,45061,35.4,50.329553272231,49.670446727769,13635,3.28
91307,-118.6848,34.2124,24474,43.4,48.7823813026068,51.2176186973932,8315,2.91
91311,-118.6148,34.271,36557,42.7,48.7950324151325,51.2049675848675,13425,2.66
91316,-118.5156,34.1583,26898,42.1,47.2786080749498,52.7213919250502,11911,2.26
91321,-118.4747,34.3677,34882,33.3,49.8881944842612,50.1118055157388,11215,3.04
91324,-118.5506,34.2414,27669,36.5,48.9537026997723,51.0462973002277,9289,2.95
91325,-118.51777,34.23636,32417,35.4,48.7984699386125,51.2015300613875,11825,2.72
91326,-118.5623,34.2895,33708,42.7,48.6353387919782,51.3646612080218,11770,2.86
91330,-118.5258,34.2489,2702,19.6,40.8216136195411,59.1783863804589,2,2.5
91331,-118.428,34.257,103689,29.5,50.495230930957,49.504769069043,22465,4.6
91335,-118.5407,34.20107,74363,35.5,49.2126460739884,50.7873539260116,22855,3.21
91340,-118.4338,34.2913,34188,30.1,50.1053001053001,49.8946998946999,8176,4.17
91342,-118.3696,34.3024,91725,31.9,49.9165985282093,50.0834014717907,23543,3.83
91343,-118.4806,34.2387,60254,32.3,50.0298735353669,49.9701264646331,16802,3.55
91344,-118.4981,34.2802,51747,41,48.7216650240594,51.2783349759406,16872,3.03
91345,-118.45948,34.26591,18496,35.7,49.253892733564,50.746107266436,5192,3.52
91350,-118.5156,34.4338,33348,36.4,48.78853304546,51.21146695454,10991,3.01
91351,-118.4572,34.4384,32362,33.9,49.7064458315308,50.2935541684692,10036,3.22
91352,-118.352,34.2302,47807,32.1,50.1600184073462,49.8399815926538,11985,3.95
91354,-118.5528,34.46039,28722,36.4,48.9032797158972,51.0967202841028,9522,3.01
91355,-118.58437,34.42379,32605,38.8,48.3760159484742,51.6239840515258,12772,2.51
91356,-118.5448,34.1663,29458,41.7,48.2585375789259,51.7414624210741,11686,2.5
91361,-118.88398,34.14016,20438,47.6,48.2141109697622,51.7858890302378,8374,2.43
91362,-118.8247,34.1971,36045,42.6,48.722430295464,51.277569704536,13563,2.65
91364,-118.59492,34.1548,25851,44,49.2785578894433,50.7214421105566,10409,2.47
91367,-118.5973,34.1785,39499,41,48.5354059596445,51.4645940403554,16697,2.35
